customer_id,signup_date,acquisition_channel,region,loyalty_member,spend_propensity,initial_orders_estimate,high_value_flag
CUST100075,13-07-2024,social,central,0,0.1157,1,0
CUST100076,22-05-2024,email,south,0,0.5395,1,0
CUST100077,20-08-2024,organic_search,east,0,1.4451,4,0
CUST100078,21-11-2024,paid_search,west,0,0.5025,1,0
CUST100079,05-07-2024,social,central,0,1.0503,3,0
CUST100080,24-03-2024,email,central,1,8.5282,25,1
CUST100081,08-07-2024,email,north,0,0.3897,1,0
CUST100082,30-06-2024,social,north,0,1.5971,4,0
CUST100083,17-04-2024,organic_search,north,0,0.4139,1,0
CUST100084,09-12-2024,social,south,0,0.2959,1,0
CUST100085,16-05-2024,paid_search,west,0,0.2516,1,0
CUST100086,25-12-2024,paid_search,south,0,0.223,1,0
CUST100087,15-12-2024,organic_search,west,0,1.3361,4,0
CUST100088,27-11-2024,organic_search,central,1,2.1849,6,0
CUST100089,06-02-2024,email,south,0,0.2622,1,0
CUST100090,07-11-2024,paid_search,south,0,0.0891,1,0
CUST100091,21-11-2024,organic_search,south,0,0.3765,1,0
CUST100092,28-03-2024,paid_search,east,0,1.0725,3,0
CUST100093,30-09-2024,email,west,0,0.4597,1,0
CUST100094,08-01-2025,social,west,0,4.7801,14,0
CUST100095,05-05-2024,organic_search,south,0,1.3638,4,0
CUST100096,24-03-2024,organic_search,east,0,0.5251,1,0
CUST100097,24-08-2024,organic_search,south,0,8.0946,24,1
CUST100098,13-07-2024,email,west,0,0.3537,1,0
CUST100099,18-05-2024,social,central,0,3.8281,11,0
CUST100100,23-11-2024,paid_search,east,0,0.2269,1,0
CUST100101,18-12-2024,social,east,0,0.1176,1,0
CUST100102,12-10-2024,paid_search,south,0,1.3896,4,0
CUST100103,22-04-2024,email,central,0,1.2117,3,0
CUST100104,16-12-2024,paid_search,west,1,1.6669,5,0
CUST100105,15-06-2024,organic_search,north,0,0.421,1,0
CUST100106,29-01-2024,organic_search,west,0,2.6709,8,0
CUST100107,27-04-2024,paid_search,west,0,0.1272,1,0
CUST100108,17-01-2024,email,central,0,0.0307,1,0
CUST100109,10-06-2024,organic_search,east,0,0.3575,1,0
CUST100110,24-07-2024,email,west,0,1.5961,4,0
CUST100111,17-05-2024,email,east,0,1.1177,3,0
CUST100112,03-02-2024,organic_search,central,1,0.5731,1,0
CUST100113,18-04-2024,organic_search,central,0,1.7763,5,0
CUST100114,17-10-2024,organic_search,south,0,0.0611,1,0
CUST100115,02-01-2025,social,north,1,0.4117,1,0
CUST100116,10-06-2024,organic_search,central,0,0.6162,1,0
CUST100117,18-04-2024,paid_search,central,0,1.1616,3,0
CUST100118,01-12-2024,paid_search,east,1,1.0384,3,0
CUST100119,12-09-2024,social,central,0,2.944,8,0
CUST100120,21-07-2024,organic_search,west,0,0.1058,1,0
CUST100121,25-11-2024,paid_search,south,1,0.41,1,0
CUST100122,22-08-2024,paid_search,south,0,3.9418,11,0
CUST100123,14-03-2024,paid_search,west,0,1.1108,3,0
CUST100124,15-05-2024,email,central,0,0.6841,2,0
CUST100125,12-03-2024,organic_search,north,0,2.4391,7,0
CUST100126,06-05-2024,email,central,0,0.9382,2,0
CUST100127,16-01-2025,social,south,1,0.0405,1,0
CUST100128,14-10-2024,social,north,0,0.1207,1,0
CUST100129,02-10-2024,social,east,0,1.4004,4,0
CUST100130,14-05-2024,paid_search,east,0,1.258,3,0
CUST100131,26-10-2024,organic_search,central,0,0.1666,1,0
CUST100132,07-08-2024,social,central,0,0.0607,1,0
CUST100133,25-10-2024,paid_search,north,0,5.1867,15,1
CUST100134,23-07-2024,social,north,1,1.0099,3,0
CUST100135,04-07-2024,organic_search,central,0,0.1454,1,0
CUST100136,22-04-2024,email,south,0,0.6417,1,0
CUST100137,11-03-2024,social,east,0,0.365,1,0
CUST100138,17-09-2024,organic_search,north,0,2.6781,8,0
CUST100139,09-09-2024,paid_search,south,1,0.2474,1,0
CUST100140,16-02-2024,email,central,1,1.3215,3,0
CUST100141,25-01-2024,email,west,0,0.7301,2,0
CUST100142,26-02-2024,paid_search,north,0,0.0116,1,0
CUST100143,19-03-2024,email,west,0,0.7277,2,0
CUST100144,17-11-2024,organic_search,south,0,0.1048,1,0
CUST100145,22-03-2024,paid_search,east,0,1.0761,3,0
CUST100146,14-12-2024,email,south,0,0.8336,2,0
CUST100147,04-08-2024,email,east,0,0.0105,1,0
CUST100148,01-11-2024,social,south,0,0.229,1,0
CUST100149,02-02-2024,email,north,0,1.4971,4,0
CUST100150,16-07-2024,organic_search,north,1,1.9359,5,0
CUST100151,14-07-2024,email,west,0,0.6917,2,0
CUST100152,01-11-2024,organic_search,south,0,2.2438,6,0
CUST100153,27-08-2024,organic_search,south,0,2.545,7,0
CUST100154,27-09-2024,organic_search,west,1,0.7691,2,0
CUST100155,08-05-2024,paid_search,central,0,1.1913,3,0
CUST100156,10-10-2024,organic_search,south,0,0.0872,1,0
CUST100157,06-01-2024,organic_search,south,0,0.0412,1,0
CUST100158,14-12-2024,organic_search,south,0,0.3001,1,0
CUST100159,04-01-2025,organic_search,central,0,0.3698,1,0
CUST100160,28-02-2024,social,north,0,1.1637,3,0
CUST100161,15-12-2024,paid_search,west,0,0.842,2,0
CUST100162,01-10-2024,organic_search,central,0,0.4693,1,0
CUST100163,16-05-2024,social,east,0,1.0617,3,0
CUST100164,24-11-2024,email,east,0,0.1786,1,0
CUST100165,23-06-2024,email,central,0,0.0656,1,0
CUST100166,27-02-2024,organic_search,central,0,11.5657,34,1
CUST100167,30-05-2024,social,north,0,0.83,2,0
CUST100168,10-08-2024,organic_search,east,0,1.0472,3,0
CUST100169,21-03-2024,organic_search,west,0,0.3671,1,0
CUST100170,20-08-2024,organic_search,south,0,0.4651,1,0
CUST100171,02-01-2024,email,south,0,0.086,1,0
CUST100172,04-01-2025,organic_search,north,0,1.9448,5,0
CUST100173,03-01-2025,organic_search,north,0,0.8976,2,0
CUST100174,14-05-2024,organic_search,east,0,0.0873,1,0
CUST100175,13-09-2024,email,west,0,1.6323,4,0
CUST100176,01-04-2024,social,west,0,0.5872,1,0
CUST100177,16-09-2024,organic_search,central,0,1.4486,4,0
CUST100178,24-02-2024,social,north,1,0.0127,1,0
CUST100179,16-11-2024,paid_search,south,0,0.0292,1,0
CUST100180,01-06-2024,social,south,0,0.1873,1,0
CUST100181,23-11-2024,organic_search,east,0,0.2369,1,0
CUST100182,16-09-2024,email,south,1,1.4437,4,0
CUST100183,07-11-2024,organic_search,west,1,1.2265,3,0
CUST100184,11-04-2024,social,west,0,5.7441,17,1
CUST100185,19-03-2024,organic_search,north,0,2.1616,6,0
CUST100186,10-07-2024,paid_search,east,0,0.2839,1,0
CUST100187,23-03-2024,paid_search,south,0,2.3476,7,0
CUST100188,03-10-2024,paid_search,north,0,2.4021,7,0
CUST100189,28-09-2024,organic_search,central,0,0.5696,1,0
CUST100190,01-01-2024,email,central,0,0.0991,1,0
CUST100191,02-11-2024,organic_search,south,1,7.78,23,1
CUST100192,14-06-2024,social,south,1,0.4109,1,0
CUST100193,07-09-2024,email,south,0,1.5844,4,0
CUST100194,10-01-2024,social,west,0,0.1788,1,0
CUST100195,27-02-2024,social,south,0,0.7755,2,0
CUST100196,04-07-2024,social,central,0,0.7094,2,0
CUST100197,06-06-2024,paid_search,south,1,0.1057,1,0
CUST100198,02-05-2024,email,east,1,0.4515,1,0
CUST100199,30-01-2024,organic_search,central,0,0.0886,1,0
CUST100200,03-05-2024,social,east,0,0.625,1,0
CUST100201,17-10-2024,social,central,0,1.8509,5,0
CUST100202,10-02-2024,paid_search,north,0,0.315,1,0
CUST100203,13-02-2024,organic_search,central,1,1.4476,4,0
CUST100204,09-01-2025,paid_search,central,0,0.2026,1,0
CUST100205,05-09-2024,email,east,0,1.12,3,0
CUST100206,05-02-2024,email,east,0,2.4714,7,0
CUST100207,29-09-2024,paid_search,central,0,0.3915,1,0
CUST100208,05-03-2024,social,central,0,2.3067,6,0
CUST100209,06-03-2024,email,west,0,0.704,2,0
CUST100210,03-12-2024,organic_search,north,0,2.2859,6,0
CUST100211,31-08-2024,organic_search,north,0,2.2683,6,0
CUST100212,08-10-2024,social,south,0,0.0326,1,0
CUST100213,25-03-2024,email,central,0,0.0284,1,0
CUST100214,15-05-2024,email,central,0,0.9159,2,0
CUST100215,27-09-2024,paid_search,central,0,1.5933,4,0
CUST100216,06-11-2024,organic_search,central,0,8.355,25,1
CUST100217,04-08-2024,paid_search,north,0,0.0828,1,0
CUST100218,18-04-2024,organic_search,east,0,3.0008,9,0
CUST100219,03-10-2024,organic_search,west,0,1.2142,3,0
CUST100220,08-01-2025,email,east,0,17.8688,53,1
CUST100221,19-12-2024,organic_search,east,0,0.3991,1,0
CUST100222,12-04-2024,email,north,0,1.184,3,0
CUST100223,31-12-2024,paid_search,west,0,1.9657,5,0
CUST100224,08-06-2024,social,central,0,0.4788,1,0
CUST100225,23-07-2024,organic_search,north,0,3.3484,10,1
CUST100226,09-12-2024,organic_search,north,1,0.3079,1,0
CUST100227,28-11-2024,organic_search,west,0,0.3792,1,0
CUST100228,10-07-2024,referral,south,1,2.5298,7,0
CUST100229,12-08-2024,email,north,0,3.4953,10,1
CUST100230,21-09-2024,paid_search,east,0,0.3357,1,0
CUST100231,19-08-2024,organic_search,east,0,0.1466,1,0
CUST100232,02-03-2024,email,central,0,1.4232,4,0
CUST100233,06-05-2024,organic_search,north,0,15.9269,47,1
CUST100234,25-04-2024,organic_search,central,0,0.9181,2,0
CUST100235,02-02-2024,social,north,0,1.0065,3,0
CUST100236,22-06-2024,email,west,0,1.4395,4,0
CUST100237,11-01-2024,organic_search,north,0,0.1662,1,0
CUST100238,28-10-2024,organic_search,south,0,3.6294,10,0
CUST100239,10-10-2024,email,east,0,0.4531,1,0
CUST100240,27-04-2024,organic_search,west,1,0.9895,2,0
CUST100241,28-10-2024,organic_search,east,1,0.6323,1,0
CUST100242,22-04-2024,social,central,1,0.6315,1,0
CUST100243,04-01-2024,email,west,0,1.2132,3,0
CUST100244,06-02-2024,paid_search,south,0,5.233,15,1
CUST100245,28-12-2024,referral,east,1,1.076,3,0
CUST100246,19-11-2024,social,north,0,1.5802,4,0
CUST100247,31-01-2024,organic_search,north,1,0.028,1,0
CUST100248,27-04-2024,referral,north,1,1.663,4,0
CUST100249,04-02-2024,paid_search,west,1,0.3566,1,0
CUST100250,17-01-2024,organic_search,south,0,0.1355,1,0
CUST100251,18-06-2024,social,south,0,0.1203,1,0
CUST100252,06-02-2024,organic_search,south,1,6.8343,20,1
CUST100253,20-09-2024,organic_search,east,0,6.0393,18,1
CUST100254,01-05-2024,organic_search,west,0,1.0972,3,0
CUST100255,22-05-2024,paid_search,north,0,0.3043,1,0
CUST100256,08-12-2024,email,east,1,0.2273,1,0
CUST100257,05-09-2024,social,south,0,0.7465,2,0
CUST100258,19-04-2024,referral,north,0,0.0673,1,0
CUST100259,03-10-2024,organic_search,west,0,0.5097,1,0
CUST100260,08-03-2024,organic_search,central,0,1.0973,3,0
CUST100261,05-01-2025,organic_search,south,1,3.4315,10,0
CUST100262,19-10-2024,organic_search,south,0,0.5545,1,0
CUST100263,22-10-2024,organic_search,south,0,0.2234,1,0
CUST100264,30-08-2024,email,south,1,1.7003,5,0
CUST100265,04-05-2024,email,north,0,1.3634,4,0
CUST100266,30-08-2024,referral,west,0,1.964,5,0
CUST100267,27-07-2024,organic_search,east,0,0.2417,1,0
CUST100268,07-04-2024,email,north,0,0.5189,1,0
CUST100269,18-02-2024,organic_search,west,0,3.9929,11,0
CUST100270,19-02-2024,organic_search,east,0,0.172,1,0
CUST100271,03-12-2024,email,south,0,6.6784,20,1
CUST100272,08-08-2024,social,west,1,0.2707,1,0
CUST100273,30-06-2024,organic_search,south,1,0.6935,2,0
CUST100274,04-08-2024,paid_search,west,0,1.612,4,0
CUST100275,29-07-2024,organic_search,central,0,0.6706,2,0
CUST100276,27-08-2024,social,south,0,1.6372,4,0
CUST100277,08-01-2025,paid_search,south,0,0.5557,1,0
CUST100278,28-01-2024,referral,south,0,7.3431,22,1
CUST100279,10-12-2024,organic_search,north,0,0.5724,1,0
CUST100280,30-11-2024,paid_search,east,1,0.1618,1,0
CUST100281,26-11-2024,paid_search,south,0,3.0837,9,0
CUST100282,20-02-2024,paid_search,south,0,1.3571,4,0
CUST100283,01-02-2024,organic_search,north,0,1.8835,5,0
CUST100284,25-07-2024,social,north,0,0.6164,1,0
CUST100285,07-01-2025,email,central,0,0.9026,2,0
CUST100286,22-06-2024,email,west,0,1.8636,5,0
CUST100287,25-02-2024,email,south,0,1.6796,5,0
CUST100288,07-05-2024,email,west,0,1.0721,3,0
CUST100289,08-04-2024,social,north,0,10.1253,30,1
CUST100290,07-04-2024,email,north,0,0.8578,2,0
CUST100291,01-10-2024,organic_search,central,0,0.0047,1,0
CUST100292,17-08-2024,paid_search,east,0,0.0421,1,0
CUST100293,12-03-2024,organic_search,north,0,3.9025,11,0
CUST100294,04-08-2024,paid_search,south,0,0.1566,1,0
CUST100295,03-04-2024,organic_search,central,0,0.5184,1,0
CUST100296,22-05-2024,referral,east,0,2.7152,8,0
CUST100297,24-08-2024,organic_search,central,0,0.217,1,0
CUST100298,07-05-2024,organic_search,north,0,1.8566,5,0
CUST100299,08-02-2024,paid_search,east,0,1.7052,5,0
CUST100300,14-08-2024,organic_search,west,0,4.2925,12,1
CUST100301,08-10-2024,organic_search,east,0,0.3308,1,0
CUST100302,20-02-2024,organic_search,south,0,0.3788,1,0
CUST100303,26-01-2024,paid_search,west,0,2.3318,6,0
CUST100304,29-11-2024,paid_search,west,0,0.2667,1,0
CUST100305,03-10-2024,email,south,1,0.7939,2,0
CUST100306,08-01-2024,social,west,0,1.2288,3,0
CUST100307,17-02-2024,paid_search,north,0,0.3173,1,0
CUST100308,01-05-2024,organic_search,east,0,2.7873,8,0
CUST100309,26-03-2024,organic_search,east,0,1.0957,3,0
CUST100310,27-07-2024,email,south,0,0.0483,1,0
CUST100311,05-09-2024,organic_search,north,0,0.1459,1,0
CUST100312,03-09-2024,organic_search,west,0,0.2117,1,0
CUST100313,19-04-2024,email,east,1,0.281,1,0
CUST100314,24-07-2024,paid_search,east,0,1.3118,3,0
CUST100315,31-01-2024,organic_search,east,0,0.0931,1,0
CUST100316,25-03-2024,organic_search,east,0,0.4317,1,0
CUST100317,13-07-2024,email,central,0,2.4234,7,0
CUST100318,02-01-2024,email,south,0,0.8134,2,0
CUST100319,18-07-2024,social,west,0,0.3086,1,0
CUST100320,15-05-2024,paid_search,west,0,3.1479,9,0
CUST100321,20-08-2024,paid_search,south,0,0.2801,1,0
CUST100322,26-05-2024,referral,north,0,2.3549,7,0
CUST100323,04-08-2024,referral,south,0,1.2938,3,0
CUST100324,22-12-2024,organic_search,east,1,1.3491,4,0
CUST100325,09-01-2025,email,east,0,1.4479,4,0
CUST100326,11-10-2024,organic_search,south,0,0.7064,2,0
CUST100327,04-12-2024,organic_search,south,0,1.6851,5,0
CUST100328,02-01-2025,social,west,0,1.8091,5,0
CUST100329,06-09-2024,paid_search,west,0,0.447,1,0
CUST100330,20-03-2024,email,central,0,0.5114,1,0
CUST100331,07-04-2024,organic_search,central,0,2.196,6,0
CUST100332,31-05-2024,paid_search,east,0,0.7439,2,0
CUST100333,21-04-2024,email,central,0,12.1019,36,1
CUST100334,30-01-2024,email,central,0,0.9856,2,0
CUST100335,23-10-2024,organic_search,north,0,0.9003,2,0
CUST100336,11-01-2025,paid_search,south,1,0.0315,1,0
CUST100337,04-10-2024,social,west,0,0.3256,1,0
CUST100338,01-02-2024,organic_search,central,0,0.6973,2,0
CUST100339,09-06-2024,referral,west,0,5.3105,15,1
CUST100340,30-01-2024,email,central,0,0.9954,2,0
CUST100341,26-01-2024,organic_search,central,0,1.2596,3,0
CUST100342,26-10-2024,organic_search,east,0,1.0678,3,0
CUST100343,01-09-2024,organic_search,north,0,1.8877,5,0
CUST100344,14-09-2024,email,south,0,0.3502,1,0
CUST100345,28-09-2024,organic_search,south,0,1.026,3,0
CUST100346,21-03-2024,paid_search,east,0,0.0525,1,0
CUST100347,30-01-2024,paid_search,east,0,0.6543,1,0
CUST100348,17-09-2024,social,south,0,0.312,1,0
CUST100349,11-02-2024,organic_search,south,0,0.4795,1,0
CUST100350,05-04-2024,organic_search,north,0,2.6279,7,0
CUST100351,05-02-2024,email,central,1,0.374,1,0
CUST100352,31-10-2024,email,north,0,0.6286,1,0
CUST100353,04-02-2024,email,south,0,5.2268,15,1
CUST100354,11-12-2024,organic_search,central,0,0.3552,1,0
CUST100355,30-04-2024,organic_search,south,0,1.3324,3,0
CUST100356,25-07-2024,social,north,0,0.7936,2,0
CUST100357,02-03-2024,organic_search,north,0,0.3934,1,0
CUST100358,18-10-2024,email,north,1,0.0939,1,0
CUST100359,06-05-2024,social,central,0,0.2432,1,0
CUST100360,23-10-2024,organic_search,west,0,1.5226,4,0
CUST100361,31-10-2024,email,west,0,0.3271,1,0
CUST100362,21-01-2024,referral,south,0,0.1558,1,0
CUST100363,13-11-2024,organic_search,central,0,0.4024,1,0
CUST100364,11-02-2024,paid_search,east,1,5.263,15,1
CUST100365,02-08-2024,organic_search,west,0,1.2156,3,0
CUST100366,02-12-2024,paid_search,central,1,0.49,1,0
CUST100367,25-10-2024,organic_search,central,1,0.6894,2,0
CUST100368,16-10-2024,social,west,0,0.6068,1,0
CUST100369,24-09-2024,referral,central,0,0.009,1,0
CUST100370,10-06-2024,paid_search,central,0,0.5035,1,0
CUST100371,13-05-2024,organic_search,west,0,0.8851,2,0
CUST100372,14-04-2024,social,north,0,0.8438,2,0
CUST100373,08-12-2024,organic_search,south,0,8.3122,24,1
CUST100374,01-01-2025,email,east,0,1.1098,3,0
CUST100375,09-06-2024,paid_search,south,0,0.3241,1,0
CUST100376,02-05-2024,organic_search,north,0,0.2952,1,0
CUST100377,15-05-2024,organic_search,north,0,0.6239,1,0
CUST100378,21-07-2024,email,central,0,1.3204,3,0
CUST100379,08-03-2024,organic_search,south,0,0.0985,1,0
CUST100380,09-12-2024,email,north,0,2.9628,8,0
CUST100381,26-11-2024,organic_search,south,0,0.7834,2,0
CUST100382,02-06-2024,organic_search,north,0,0.3659,1,0
CUST100383,22-08-2024,paid_search,east,1,1.1822,3,0
CUST100384,10-06-2024,email,north,0,0.2745,1,0
CUST100385,07-02-2024,email,south,0,3.9745,11,1
CUST100386,05-01-2024,organic_search,central,0,0.6655,1,0
CUST100387,22-08-2024,paid_search,south,0,0.1767,1,0
CUST100388,14-11-2024,organic_search,west,0,1.8164,5,0
CUST100389,15-10-2024,paid_search,south,0,1.5936,4,0
CUST100390,21-02-2024,paid_search,east,1,0.9944,2,0
CUST100391,07-02-2024,email,east,0,0.4523,1,0
CUST100392,02-10-2024,email,east,0,0.1058,1,0
CUST100393,19-04-2024,paid_search,north,0,1.8879,5,0
CUST100394,16-09-2024,paid_search,east,0,0.3906,1,0
CUST100395,15-05-2024,email,south,1,3.4716,10,0
CUST100396,08-03-2024,email,central,1,0.3914,1,0
CUST100397,27-06-2024,organic_search,east,0,2.2266,6,0
CUST100398,05-02-2024,organic_search,south,0,1.3756,4,0
CUST100399,05-05-2024,paid_search,north,0,1.3766,4,0
CUST100400,08-07-2024,organic_search,north,0,0.7294,2,0
CUST100401,25-05-2024,organic_search,central,1,1.0718,3,0
CUST100402,21-03-2024,organic_search,central,0,0.7167,2,0
CUST100403,12-08-2024,social,south,0,0.029,1,0
CUST100404,05-10-2024,organic_search,central,0,0.0683,1,0
CUST100405,26-12-2024,organic_search,central,1,0.4841,1,0
CUST100406,03-06-2024,organic_search,north,0,1.3853,4,0
CUST100407,09-11-2024,email,south,0,2.4445,7,0
CUST100408,30-11-2024,email,central,1,0.0302,1,0
CUST100409,27-09-2024,paid_search,south,0,0.4589,1,0
CUST100410,05-01-2024,paid_search,east,0,0.2533,1,0
CUST100411,07-12-2024,referral,north,1,10.1311,30,1
CUST100412,10-10-2024,organic_search,north,1,1.8706,5,0
CUST100413,02-06-2024,organic_search,north,0,0.2312,1,0
CUST100414,05-12-2024,organic_search,west,0,1.2407,3,0
CUST100415,23-02-2024,organic_search,south,0,1.3159,3,0
CUST100416,09-03-2024,paid_search,east,0,0.1949,1,0
CUST100417,15-05-2024,email,central,0,0.5686,1,0
CUST100418,29-02-2024,social,east,0,0.9685,2,0
CUST100419,24-02-2024,paid_search,south,0,0.0264,1,0
CUST100420,15-01-2025,email,north,0,0.5185,1,0
CUST100421,10-10-2024,organic_search,west,0,0.1684,1,0
CUST100422,20-03-2024,organic_search,south,0,0.7807,2,0
CUST100423,19-05-2024,social,south,0,11.1059,33,1
CUST100424,24-05-2024,social,central,0,0.7439,2,0
CUST100425,05-11-2024,organic_search,east,0,0.0366,1,0
CUST100426,17-04-2024,paid_search,east,0,0.0301,1,0
CUST100427,02-01-2025,social,central,1,0.9301,2,0
CUST100428,24-06-2024,social,west,0,0.3975,1,0
CUST100429,14-04-2024,social,north,0,0.8502,2,0
CUST100430,17-12-2024,organic_search,north,0,0.1787,1,0
CUST100431,20-11-2024,organic_search,west,0,1.5,4,0
CUST100432,15-05-2024,paid_search,central,0,1.9713,5,0
CUST100433,15-09-2024,organic_search,south,0,2.2003,6,0
CUST100434,07-09-2024,email,east,0,0.3625,1,0
CUST100435,08-05-2024,paid_search,south,0,1.081,3,0
CUST100436,27-01-2024,organic_search,east,0,0.3272,1,0
CUST100437,17-02-2024,email,south,0,1.4387,4,0
CUST100438,20-11-2024,paid_search,central,0,0.1284,1,0
CUST100439,04-08-2024,organic_search,central,0,1.4387,4,0
CUST100440,21-05-2024,email,west,0,0.5793,1,0
CUST100441,23-01-2024,email,south,1,1.9348,5,0
CUST100442,02-01-2024,social,south,0,1.343,4,0
CUST100443,19-06-2024,organic_search,west,0,0.4724,1,0
CUST100444,07-03-2024,social,west,0,2.3386,7,0
CUST100445,22-11-2024,email,central,1,0.3331,1,0
CUST100446,14-05-2024,organic_search,central,1,3.4109,10,0
CUST100447,23-03-2024,organic_search,south,0,1.4576,4,0
CUST100448,14-01-2025,email,central,0,4.675,14,0
CUST100449,14-08-2024,organic_search,central,0,0.0554,1,0
CUST100450,09-10-2024,email,south,0,0.3203,1,0
CUST100451,27-12-2024,paid_search,west,0,1.3519,4,0
CUST100452,06-08-2024,paid_search,south,0,2.5543,7,0
CUST100453,14-10-2024,organic_search,north,1,0.0292,1,0
CUST100454,05-01-2024,email,south,0,0,1,0
CUST100455,27-02-2024,paid_search,north,0,0.296,1,0
CUST100456,08-02-2024,paid_search,south,0,1.9158,5,0
CUST100457,19-12-2024,social,north,0,1.4574,4,0
CUST100458,17-03-2024,social,north,0,0.4159,1,0
CUST100459,06-10-2024,referral,south,0,0.002,1,0
CUST100460,19-01-2024,paid_search,central,0,0.809,2,0
CUST100461,08-07-2024,paid_search,east,0,0.2718,1,0
CUST100462,25-10-2024,referral,central,0,1.3689,4,0
CUST100463,09-10-2024,social,north,0,0.5912,1,0
CUST100464,16-03-2024,organic_search,south,1,1.1351,3,0
CUST100465,08-08-2024,organic_search,south,0,11.4758,34,1
CUST100466,06-03-2024,email,south,0,0.7674,2,0
CUST100467,22-01-2024,paid_search,south,1,0.4094,1,0
